date,regime,log_return,body_ratio,upper_wick_ratio,lower_wick_ratio,range_zscore,volume_zscore,volume_delta,gap,atr7_norm,atr14_norm,atr28_norm,atr_ratio,rsi14,rsi28,macd_hist,roc_5,roc_10,roc_20,roc_60,bb_position,dist_sma20,dist_sma50,range_percentile,corr_index,dow_sin,dow_cos,month_sin,month_cos,quarter_end_flag
2018-06-07 00:00:00,2.0,1.5795758,1.3523145,-0.82866627,-0.8398244,0.51135576,0.27214342,2.182984,-0.79232204,0.6609985,0.90815437,1.0940533,-0.46192852,-0.252248,-0.6514582,0.34482947,0.51271975,1.4460816,-0.8098823,-1.8769505,0.19537522,-0.044074744,-0.8151505,1.0796442,1.1814514,-0.58778524,-0.809017,0.5,-0.8660254,0.0
2018-06-14 00:00:00,5.0,1.2887475,1.1159675,0.07543444,-1.0610921,0.5654608,1.6690959,1.4204161,-0.48413,0.76124245,0.74874127,0.7778454,0.19970144,0.25269535,-0.17166962,0.959468,1.0926975,1.2124838,-0.38967583,-1.5262411,1.0008453,0.5685088,-0.40214324,1.0499456,1.1180158,-0.58778524,-0.809017,1.2246469e-16,-1.0,0.0
2018-06-21 00:00:00,2.0,0.80863595,0.8103934,0.9441216,-1.0820084,-0.5039011,0.7947581,-0.6745233,0.627665,0.3453436,0.38517025,0.4440527,-0.05496672,0.5822599,0.14673443,1.557595,2.2144578,1.2040302,-0.23090437,-1.2735221,1.487985,1.0237547,-0.12201494,-0.10013691,1.0508027,-0.58778524,-0.809017,1.2246469e-16,-1.0,0.0
2018-06-28 00:00:00,2.0,-0.8907111,-0.9213717,-0.6439041,0.89238083,0.45145887,-0.074,-0.8349353,0.10535234,0.9632331,0.92151666,0.90164685,0.36632994,0.17180811,-0.20644711,1.6151441,1.9219435,1.0201892,-0.32700834,-1.5284853,0.96012354,0.5903724,-0.3869834,0.9538194,1.6049982,-0.58778524,-0.809017,1.2246469e-16,-1.0,0.0
2018-07-05 00:00:00,2.0,-1.7148856,-1.3281766,0.3644828,-1.1978078,1.5739633,0.23218322,0.13324401,0.8346992,2.4366717,2.1922297,1.9628022,1.3359425,-0.5451868,-0.83995634,1.1722077,0.53876823,0.63600737,-0.49152377,-2.2449775,-0.03141719,-0.17751534,-0.8390505,1.237835,1.4143649,-0.58778524,-0.809017,1.2246469e-16,-1.0,1.0
2018-07-12 00:00:00,2.0,0.4240111,0.16609001,0.26913413,1.3337113,-0.25180686,0.30057397,-0.06473664,0.6546825,1.8304611,1.8119829,1.6902028,0.8030538,-0.34644186,-0.66132843,1.0172292,-0.07527419,0.335207,-0.5105986,-1.6939024,0.26410845,0.04419862,-0.69504076,0.03673208,1.3878039,-0.58778524,-0.809017,-0.5,-0.8660254,0.0
2018-07-19 00:00:00,2.0,0.24549416,0.097751625,-0.7622493,2.2883787,-1.1464856,-0.76262814,-1.0463889,0.5549961,0.94262826,1.2447127,1.3352629,-0.2129383,-0.21351519,-0.5441324,0.96913666,-0.63924193,0.33106047,-0.564443,-1.6217315,0.48098493,0.2212762,-0.6025167,-1.8018137,1.3348159,-0.58778524,-0.809017,-0.5,-0.8660254,0.0
2018-07-26 00:00:00,5.0,-0.7942569,-0.55301243,0.043870218,1.0369468,-0.24613684,-0.3686439,0.35134444,-1.2326063,1.1157745,1.480638,1.6292359,-0.3016629,-0.546456,-0.82094693,0.72078633,-1.4977515,0.53573674,-0.6351682,-2.249976,0.04250154,-0.09470663,-0.7917071,-0.009583275,1.1480799,-0.58778524,-0.809017,-0.5,-0.8660254,0.0
2018-08-02 00:00:00,2.0,-0.39764714,-0.381168,0.055778697,1.3473301,-0.7227657,-0.7765727,-0.5847275,-0.5927388,0.8836737,1.3878672,1.6595215,-0.721291,-0.71765125,-0.961276,0.47297123,-1.2311568,0.58048093,-0.6679672,-2.4684787,-0.16288134,-0.23904519,-0.8874265,-0.8431922,1.1752529,-0.58778524,-0.809017,-0.5,-0.8660254,0.0
2018-08-09 00:00:00,2.0,3.0,1.1288788,0.2018568,-0.94394547,1.9063531,2.6372108,3.0,3.0,1.835638,1.3686951,1.0025718,2.0002537,0.9564434,0.44394115,1.0864419,1.6658671,1.9138907,0.93754935,-1.6644471,2.0250154,1.4835863,0.1735637,1.312518,1.1392313,-0.58778524,-0.809017,-0.8660254,-0.5,0.0
2018-08-16 00:00:00,2.0,-1.3601029,-1.4535857,-1.0565902,-0.4519891,0.026611466,0.36502323,-1.1530235,-0.57455087,2.078786,1.9150522,1.6638826,1.4574422,0.20052895,-0.20541827,1.1583644,0.6357262,0.48762676,1.7973497,-1.9301045,0.96825606,0.69575185,-0.24183553,0.49658275,-0.15178765,-0.58778524,-0.809017,-0.8660254,-0.5,0.0
